day,count
2010-01-01,87
2010-01-02,100
2010-01-03,118
2010-01-04,123
2010-01-05,119
2010-01-06,83
2010-01-07,87
2010-01-08,96
2010-01-09,75
2010-01-10,42
2010-01-11,88
2010-01-12,85
2010-01-13,125
2010-01-14,108
2010-01-15,135
2010-01-16,89
2010-01-17,99
2010-01-18,134
2010-01-19,134
2010-01-20,149
2010-01-21,139
2010-01-22,144
2010-01-23,98
2010-01-24,86
2010-01-25,118
2010-01-26,124
2010-01-27,130
2010-01-28,138
2010-01-29,189
2010-01-30,231
2010-01-31,107
2010-02-01,249
2010-02-02,147
2010-02-03,169
2010-02-04,135
2010-02-05,158
2010-02-06,129
2010-02-07,67
2010-02-08,118
2010-02-09,169
2010-02-10,183
2010-02-11,142
2010-02-12,135
2010-02-13,119
2010-02-14,117
2010-02-15,141
2010-02-16,147
2010-02-17,148
2010-02-18,147
2010-02-19,190
2010-02-20,153
2010-02-21,111
2010-02-22,143
2010-02-23,123
2010-02-24,110
2010-02-25,157
2010-02-26,161
2010-02-27,131
2010-02-28,97
2010-03-01,198
2010-03-02,200
2010-03-03,129
2010-03-04,152
2010-03-05,168
2010-03-06,130
2010-03-07,128
2010-03-08,173
2010-03-09,132
2010-03-10,156
2010-03-11,134
2010-03-12,162
2010-03-13,125
2010-03-14,121
2010-03-15,135
2010-03-16,137
2010-03-17,134
2010-03-18,149
2010-03-19,166
2010-03-20,154
2010-03-21,108
2010-03-22,130
2010-03-23,151
2010-03-24,129
2010-03-25,138
2010-03-26,164
2010-03-27,119
2010-03-28,112
2010-03-29,112
2010-03-30,154
2010-03-31,140
2010-04-01,167
2010-04-02,109
2010-04-03,107
2010-04-04,111
2010-04-05,85
2010-04-06,118
2010-04-07,121
2010-04-08,165
2010-04-09,178
2010-04-10,161
2010-04-11,125
2010-04-12,144
2010-04-13,154
2010-04-14,106
2010-04-15,124
2010-04-16,171
2010-04-17,156
2010-04-18,112
2010-04-19,114
2010-04-20,154
2010-04-21,158
2010-04-22,166
2010-04-23,209
2010-04-24,149
2010-04-25,113
2010-04-26,156
2010-04-27,174
2010-04-28,149
2010-04-29,153
2010-04-30,182
2010-05-01,123
2010-05-02,89
2010-05-03,104
2010-05-04,154
2010-05-05,123
2010-05-06,121
2010-05-07,157
2010-05-08,135
2010-05-09,106
2010-05-10,144
2010-05-11,149
2010-05-12,143
2010-05-13,124
2010-05-14,150
2010-05-15,162
2010-05-16,125
2010-05-17,123
2010-05-18,160
2010-05-19,133
2010-05-20,147
2010-05-21,195
2010-05-22,187
2010-05-23,180
2010-05-24,172
2010-05-25,166
2010-05-26,132
2010-05-27,190
2010-05-28,189
2010-05-29,192
2010-05-30,109
2010-05-31,86
2010-06-01,154
2010-06-02,169
2010-06-03,161
2010-06-04,172
2010-06-05,141
2010-06-06,119
2010-06-07,141
2010-06-08,152
2010-06-09,133
2010-06-10,126
2010-06-11,155
2010-06-12,139
2010-06-13,113
2010-06-14,141
2010-06-15,155
2010-06-16,183
2010-06-17,152
2010-06-18,162
2010-06-19,129
2010-06-20,148
2010-06-21,167
2010-06-22,180
2010-06-23,197
2010-06-24,154
2010-06-25,169
2010-06-26,177
2010-06-27,120
2010-06-28,165
2010-06-29,125
2010-06-30,147
2010-07-01,131
2010-07-02,154
2010-07-03,124
2010-07-04,129
2010-07-05,149
2010-07-06,118
2010-07-07,120
2010-07-08,124
2010-07-09,169
2010-07-10,151
2010-07-11,134
2010-07-12,153
2010-07-13,159
2010-07-14,162
2010-07-15,152
2010-07-16,147
2010-07-17,130
2010-07-18,110
2010-07-19,132
2010-07-20,152
2010-07-21,161
2010-07-22,114
2010-07-23,141
2010-07-24,101
2010-07-25,88
2010-07-26,126
2010-07-27,134
2010-07-28,128
2010-07-29,151
2010-07-30,172
2010-07-31,171
2010-08-01,106
2010-08-02,88
2010-08-03,116
2010-08-04,138
2010-08-05,107
2010-08-06,136
2010-08-07,155
2010-08-08,89
2010-08-09,126
2010-08-10,179
2010-08-11,133
2010-08-12,130
2010-08-13,164
2010-08-14,140
2010-08-15,125
2010-08-16,134
